rho,eps,Lstar,c_cs,c_cm,ratio,sl_deep,ld_deep,kappa,winner
-0.5,0.1,2,94135.20735350577,261029.75012852935,0.3606301860502652,14.452201807832735,7.388549141507874,1.394936326055606,cond-stdMC
-0.6,0.1,2,164914.3357518407,399671.0891468944,0.4126251315897117,7.425737647095409,4.858255949426881,1.3959570742488148,cond-stdMC
-0.7,0.1,2,275446.57760700845,613919.7575254809,0.4486686968949292,4.207412934162929,3.2967769164839944,1.4724051139917766,cond-stdMC
-0.8,0.1,2,376751.344978483,798214.7633495462,0.4719924540076438,2.536711157013728,2.2707739937127123,1.3576697625964727,cond-stdMC
-0.9,0.1,2,515147.5325823216,1064815.2533063714,0.4837905270259141,1.5869105719403755,1.5626152732814322,1.3038819966686115,cond-stdMC
-0.95,0.1,3,1216399.1326851668,2775199.1192984786,0.4383105789514127,1.2623143075596506,1.28262822953985,1.3254027308272993,cond-stdMC
-0.99,0.1,4,3058497.193243181,7076535.967735437,0.43220259279229395,1.04924059698002,1.0648417527064955,1.4463500052764322,cond-stdMC
